Month;City;Sub_Category;average_sales_M;Average Spent By Person
Novemver 2015;Madrid;jackets;110;84
Novemver 2015;Barcelona;shirts;190;141
Novemver 2015;Paris;jackets;300;100
Novemver 2015;Lausanne;Washer;220;231
Novemver 2015;Lausanne;TV;120;365
Novemver 2015;Lausanne;Washer;90;265
Novemver 2015;Zurich;Other;164;500
Novemver 2015;Geneva;Fridge;128;230
Novemver 2015;New York;Iphone;799;380
Novemver 2015;New York;TV;512;403
Novemver 2015;Los Angeles;Playstation;422;250
Novemver 2015;Paris;Playstation;400;300
Novemver 2015;Paris;Playstation;400;300
Novemver 2015;Paris;Kids_game;200;100
Novemver 2015;New York;Kids_game;432;153
Novemver 2014;Madrid;jackets;90;72
Novemver 2014;Barcelona;shirts;140;105
Novemver 2014;Paris;jackets;200;95
Novemver 2014;Lausanne;Washer;200;175
Novemver 2014;Lausanne;TV;120;235
Novemver 2014;Lausanne;Washer;100;245
Novemver 2014;Zurich;Other;130;440
Novemver 2014;Geneva;Fridge;111;220
Novemver 2014;New York;Iphone;509;420
Novemver 2014;New York;TV;500;303
Novemver 2014;Los Angeles;Playstation;466;231
Novemver 2014;Paris;Playstation;450;200
Novemver 2014;Paris;Kids_game;240;80
Novemver 2014;New York;Kids_game;332;103
